Feature,Average Weight
tkl,0.051486436915136054
tklw,0.20038710624429878
def3rd,0.03387084280087963
mid3rd,0.05284578179119124
att3rd,0.10041658337883737
att,0.21134730035673077
lost,0.03900044163966241
blocks,0.07883366378403538
sh,0.09849004920371161
pass,0.13332179388551674
